Source_List,Nombre_JP,Nombre_ENG,Atributo,G-Power,Size,Weight,Rareza,URL
32mm,,眼ゃ (＜若鴻≪),Unknown,,,,,http://bakucolle.com/archives/21772469.html
32mm,眼＜祉眼ゃ (＜若鴻≪),Pyrus Dragonoid,Pyrus,440G/490G,32mm,13.0g,3.0,http://bakucolle.com/archives/11540411.html
32mm,眼＜祉眼ゃ (＜若鴻≪),Pyrus Dragonoid,Pyrus,450G/510G/600G,32mm,13.0g,5.0,http://bakucolle.com/archives/11540747.html
32mm,眼ゃ (＜若鴻≪),Dragonoid,Pyrus,480G,32mm,13.5g,8.0,http://bakucolle.com/archives/19419046.html
32mm,眼ゃ (＜若鴻≪),Dragonoid,Pyrus,610G,32mm,12.5g,6.0,http://bakucolle.com/archives/11540275.html
32mm,眼ゃ (＜若鴻≪),Dragonoid,Pyrus,400G,32mm,13.0g,6.0,http://bakucolle.com/archives/11540234.html
32mm,眼ゃ(＜若鴻≪),Dragonoid,Pyrus,,,,,http://bakucolle.com/archives/7037190.html
32mm,眼ゃ (＜若鴻≪),Dragonoid,Pyrus,G,32mm,13.0g,9.0,http://bakucolle.com/archives/25085115.html
32mm,眼＜祉眼ゃ (＜若鴻≪),Pyrus Dragonoid,Pyrus,660G,32mm,13.5g,7.0,http://bakucolle.com/archives/25025300.html
32mm,眼ゃ (＜若鴻≪),Dragonoid,Ventus,590G,32mm,13.0g,7.0,http://bakucolle.com/archives/25091382.html
32mm,眼ゃ (＜若鴻≪),Dragonoid,Subterra,550G,32mm,13.0g,7.0,http://bakucolle.com/archives/25130930.html
32mm,祉眼ゃ (＜若鴻≪),Haos Dragonoid,Haos,450G,32mm,13.0g,8.0,http://bakucolle.com/archives/27844531.html
32mm,若潟祉眼ゃ (＜若鴻≪),Darkus Dragonoid,Darkus,400G/520G,32mm,13.0g,5.0,http://bakucolle.com/archives/12941805.html
32mm,眼ゃ(＜若鴻≪),Dragonoid,Darkus,540G,32mm,14.0g,8.0,http://bakucolle.com/archives/13240100.html
32mm,帥祉眼ゃ,Delta Dragonoid,Pyrus,460G/500G,32mm,15.5g,3.0,http://bakucolle.com/archives/6749530.html
32mm,帥祉眼ゃ,Delta Dragonoid,Haos,650G,32mm,16.0g,6.0,http://bakucolle.com/archives/14883123.html
32mm,ゃ潟ｃｃ祉眼ゃ,Infinity Dragonoid,Darkus,500G,32mm,17.0g,3.0,http://bakucolle.com/archives/7388344.html
32mm,ゃ潟ｃ 祉眼ゃ,Infinity Dragonoid,Pyrus,680G,32mm,17.0g,8.0,http://bakucolle.com/archives/11543642.html
32mm,ャ,Hydranoid,Pyrus,530G,32mm,12.5g,9.0,http://bakucolle.com/archives/15923527.html
32mm,ャ,Hydranoid,Darkus,500G,32mm,12.5g,9.0,http://bakucolle.com/archives/12947888.html
32mm,若潟祉ャ≪祉ャ (≫罕),Darkus Dual Hydranoid,Darkus,450G/500G,32mm,12.5g,3.0,http://bakucolle.com/archives/12945685.html
32mm,眼＜祉ャ≪祉ャ,Pyrus Dual Hydranoid,Pyrus,380G,32mm,11.0g,6.0,http://bakucolle.com/archives/11543213.html
32mm,ャ≪祉ャ,Dual Hydranoid,Pyrus,640G,32mm,12.0g,8.0,http://bakucolle.com/archives/11543362.html
32mm,ャ≪祉ャ,Dual Hydranoid,Aquos,540G,32mm,12.0g,7.0,http://bakucolle.com/archives/20196029.html
32mm,ャ≪祉ャ,Dual Hydranoid,Ventus,400G,32mm,11.5g,7.0,http://bakucolle.com/archives/25091474.html
32mm,ャ≪祉ャ,Dual Hydranoid,Darkus,440G/450G/540G/550G,32mm,12.0g,7.0,http://bakucolle.com/archives/12946564.html
32mm,ャ≪祉ャ,Dual Hydranoid,Darkus,650G,32mm,12.0g,8.0,http://bakucolle.com/archives/12945421.html
32mm,ャ≪祉ャ,Dual Hydranoid,Darkus,420G,32mm,11.5g,7.0,http://bakucolle.com/archives/12948243.html
32mm,≪＜若祉ャ,Alpha Hydranoid,Subterra,460G/480G,32mm,17.5g,3.0,http://bakucolle.com/archives/7387758.html
32mm,≪＜若祉ャ,Alpha Hydranoid,Darkus,340G/380G,32mm,17.0g,3.0,http://bakucolle.com/archives/12945385.html
32mm,若潟祉≪＜若祉ャ,Darkus Alpha Hydranoid,Darkus,340G,32mm,13.0g,3.0,http://bakucolle.com/archives/12945090.html
32mm,≪＜若祉ャ,Alpha Hydranoid,Pyrus,800G,32mm,17.5g,8.0,http://bakucolle.com/archives/11543545.html
32mm,≪＜若祉ャ,Alpha Hydranoid,Pyrus,600G,32mm,13.0g,8.0,http://bakucolle.com/archives/11543438.html
32mm,≪＜若祉ャ,Alpha Hydranoid,Subterra,460G/650G,32mm,17.5g,6.0,http://bakucolle.com/archives/25130579.html
32mm,≪＜若祉ャ,Alpha Hydranoid,Darkus,670G,32mm,17.5g,8.0,http://bakucolle.com/archives/12945274.html
32mm,≪＜若祉ャ,Alpha Hydranoid,Darkus,600G,32mm,13.0g,8.0,http://bakucolle.com/archives/12944820.html
32mm,≪＜若ャ,Alpha Hydranoid,Darkus,,,,,http://bakucolle.com/archives/7037374.html
32mm,≪＜若祉ャ,Alpha Hydranoid,Darkus,G,32mm,12.5g,9.0,http://bakucolle.com/archives/25085206.html
32mm,ｃ違,Tigrerra,Aquos,540G,32mm,13.5g,8.0,http://bakucolle.com/archives/20195987.html
32mm,ｃ違,Tigrerra,Ventus,500G,32mm,13.0g,8.0,http://bakucolle.com/archives/25091418.html
32mm,祉ｃ違,Haos Tigrerra,Haos,450G/510G/590G,32mm,13.5g,6.0,http://bakucolle.com/archives/14880897.html
32mm,ｃ違,Tigrerra,Unknown,540G/580G,32mm,13.5g,6.0,http://bakucolle.com/archives/14880870.html
32mm,ｃ違,Tigrerra,Unknown,580G,32mm,14.0g,6.0,http://bakucolle.com/archives/27844357.html
32mm,若祉ｃ違,Blade Tigrerra,Haos,340G/400G,32mm,13.5g,3.0,http://bakucolle.com/archives/14883547.html
32mm,眼＜祉若祉ｃ違,Pyrus Blade Tigrerra,Pyrus,470G/520G,32mm,13.0g,6.0,http://bakucolle.com/archives/11543021.html
32mm,若ｃ鴻祉若祉ｃ違,Ventus Blade Tigrerra,Ventus,350G/450G/490G/,32mm,13.0g,5.0,http://bakucolle.com/archives/25090693.html
32mm,若祉ｃ違,Blade Tigrerra,Subterra,550G/580G,32mm,14.0g,5.0,http://bakucolle.com/archives/25131012.html
32mm,祉若祉ｃ違,Haos Blade Tigrerra,Haos,440G/480G/590G/600G,32mm,14.0g,6.0,http://bakucolle.com/archives/14883367.html
32mm,若祉ｃ違,Blade Tigrerra,Haos,500G,32mm,14.0g,7.0,http://bakucolle.com/archives/14883433.html
32mm,若祉ｃ違,Blade Tigrerra,Darkus,420G,32mm,14.0g,8.0,http://bakucolle.com/archives/12948001.html
32mm,≪≪祉帥,Aquos Preyas,Aquos,540G,32mm,11.5g,7.0,http://bakucolle.com/archives/20194891.html
32mm,帥,Preyas,Aquos,550G,32mm,11.5g,8.0,http://bakucolle.com/archives/20196508.html
32mm,若ｃ鴻祉帥,Ventus Preyas,Ventus,550G,32mm,11.5g,8.0,http://bakucolle.com/archives/29654742.html
32mm,祉帥,Haos Preyas,Haos,470G,32mm,11.0g,8.0,http://bakucolle.com/archives/14881423.html
32mm,帥,Preyas,Haos,520G,32mm,11.5g,8.0,http://bakucolle.com/archives/14881265.html
32mm,帥若祉ｃ≪,Preyas Diablo,Aquos,380G,32mm,11.0g,3.0,http://bakucolle.com/archives/20194984.html
32mm,≪≪祉帥若祉ｃ≪,Aquos Preyas Diablo,Aquos,340G/500G/610G,32mm,11.0g,6.0,http://bakucolle.com/archives/20196202.html
32mm,帥若祉ｃ≪,Preyas diablo,Aquos,470G/590G,32mm,11.0g,8.0,http://bakucolle.com/archives/20196548.html
32mm,帥若祉ｃ≪,Preyas Diablo,Aquos,540G,32mm,11.0g,6.0,http://bakucolle.com/archives/20196383.html
32mm,≪≪祉帥若祉ｃ≪,Aquos Preyas Diablo,Aquos,400G,32mm,11.0g,8.0,http://bakucolle.com/archives/20196400.html
32mm,≪≪祉帥若祉ｃ≪,Aquos Preyas Diablo,Aquos,630G,32mm,11.0g,7.0,http://bakucolle.com/archives/13000625.html
32mm,泣祉帥若祉ｃ≪,Subterra Preyas Diablo,Subterra,400G.480G/500G/520G,32mm,10.5g,6.0,http://bakucolle.com/archives/25131042.html
32mm,帥若祉ｃ≪,Preyas Diablo,Haos,350G/480G,32mm,11.0g,6.0,http://bakucolle.com/archives/14881816.html
32mm,若潟祉帥若祉ｃ≪,Darkus Preyas Diablo,Darkus,480G/550G/580G/600G/610G,32mm,11.0g,6.0,http://bakucolle.com/archives/12942235.html
32mm,,Preyas,Aquos,460G-360G/480G-280G,32mm,13.0g,3.0,http://bakucolle.com/archives/7390447.html
32mm,,Preyas,Ventus,(450G-650G),32mm,13.0g,7.0,http://bakucolle.com/archives/25102021.html
32mm,,Preyas,Subterra,(300G-720G),32mm,13.5g,7.0,http://bakucolle.com/archives/25131027.html
32mm,,Preyas,Haos,(410G-640G),32mm,13.0g,6.0,http://bakucolle.com/archives/14881974.html
32mm,,Preyas,Darkus,(510G-680G),32mm,13.0g,7.0,http://bakucolle.com/archives/15921963.html
32mm,若ｃ鴻祉с,Ventus Skyress,Ventus,500G,32mm,12.5g,8.0,http://bakucolle.com/archives/25091463.html
32mm,с,Skyress,Aquos,530G,32mm,12.5g,8.0,http://bakucolle.com/archives/20196720.html
32mm,с,Skyress,Ventus,510G,32mm,12.5g,8.0,http://bakucolle.com/archives/25091787.html
32mm,鴻若祉с,Storm Skyress,Ventus,340G/380G,32mm,14.0g,3.0,http://bakucolle.com/archives/25091296.html
32mm,眼＜祉鴻若祉с,Pyrus Storm Skyress,Pyrus,370G/570G/600G,32mm,13.5g,6.0,http://bakucolle.com/archives/11543033.html
32mm,≪≪祉鴻若祉с,Aquos Storm Skyress,Aquos,560G,32mm,14.0g,5.0,http://bakucolle.com/archives/27834677.html
32mm,鴻若祉с,Storm skyress,Aquos,600G,32mm,12.5g,8.0,http://bakucolle.com/archives/20196753.html
32mm,若ｃ鴻祉鴻若祉с,Ventus Storm Skyress,Ventus,360G/390G/450G/500G,32mm,14.0g,5.0,http://bakucolle.com/archives/25091277.html
