Nombre_JP,Nombre_ENG,Atributo,G-Power,Size,Weight,Rareza,URL
,R -- Rekka,Clear,Unknown,N/A,N/A,N/A,http://bakucolle.com/archives/7211618.html
R(),ャ,Clear,730G,32mm,18.0g,7,http://bakucolle.com/archives/12382005.html
H(),ゃ,Clear,730G,32mm,18.0g,6,http://bakucolle.com/archives/12382017.html
S(激),若,Clear,740G,32mm,19.0g,6,http://bakucolle.com/archives/12382048.html
K(潟),,Clear,750G,32mm,16.5g,6,http://bakucolle.com/archives/12382063.html
O(若眼),,Clear,760G,32mm,20.0g,6,http://bakucolle.com/archives/12382111.html
Y(ゃ激),帥,Clear,710G/770G,32mm,18.5g,8,http://bakucolle.com/archives/12382146.html
I(ゃ),若祉,Clear,750G,32mm,14.5g,9,http://bakucolle.com/archives/12377854.html
,Ramdol,Clear,910G/1050G,32mm,13.5g,5,http://bakucolle.com/archives/7186043.html
N/A,N/A,Clear,Unknown,N/A,N/A,N/A,http://bakucolle.com/archives/7329379.html
