Nombre_JP,Nombre_ENG,Atributo,G-Power,Size,Weight,Rareza,URL
,ゃ潟ｃ鴻帥,Clear,Unknown,,,,http://bakucolle.com/archives/7427692.html
ゃ潟ｃ鴻帥,Twin Destructor,Clear,180G/200G,,16.5g,3.0,http://bakucolle.com/archives/8308245.html
ゃ潟ｃ鴻帥,Twin Destructor,Clear,200G,,17.0g,8.0,http://bakucolle.com/archives/8308157.html
ゃ潟ｃ鴻帥,Twin Destructor,Clear,100G,,17.0g,5.0,http://bakucolle.com/archives/25025700.html
ゃ潟ｃ鴻帥,Twin Destructor,Clear,100G,,16.5g,5.0,http://bakucolle.com/archives/8321311.html
激ｃ,Battle Crusher,Clear,160G/180G,,16.5g,3.0,http://bakucolle.com/archives/8310929.html
激ｃ,Battle Crusher,Clear,Unknown,,g,5.0,http://bakucolle.com/archives/29212026.html
激ｃ,Battle Crusher,Clear,80G/100G,,16.5g,5.0,http://bakucolle.com/archives/8321266.html
鴻сゃ吟,Swayther,Clear,180G/200G,,18.0g,3.0,http://bakucolle.com/archives/8309435.html
潟,Rock Hammer,Clear,160G/200G,,23.5g,3.0,http://bakucolle.com/archives/8308310.html
潟,Rock Hammer,Clear,70G,,23.5g,5.0,http://bakucolle.com/archives/8321165.html
潟,Rock Hammer,Clear,60G,,23.5g,5.0,http://bakucolle.com/archives/8321183.html
潟,Rock Hammer,Clear,70G/80G,,23.5g,5.0,http://bakucolle.com/archives/8321219.html
吾с潟,Jetkor,Clear,180G,,17.5g,3.0,http://bakucolle.com/archives/8309259.html
吾с潟,Jetkor,Clear,70G,,17.5g,5.0,http://bakucolle.com/archives/8321347.html
吾с潟,Jetkor,Clear,50G/80G,,17.5g,5.0,http://bakucolle.com/archives/8321375.html
吾с潟,Jetkor,Clear,60G,,17.5g,5.0,http://bakucolle.com/archives/8321383.html
若,Gigarth,Clear,180G,,25.0g,3.0,http://bakucolle.com/archives/8310301.html
若,Gigarth,Clear,180G,,25.0g,3.0,http://bakucolle.com/archives/8310336.html
＜鴻帥,Boomix,Clear,160G,,24.0g,3.0,http://bakucolle.com/archives/8309456.html
＜鴻帥,Boomix,Clear,80G,,24.0g,5.0,http://bakucolle.com/archives/29211971.html
＜鴻帥,Boomix,Clear,200G,,g,6.0,http://bakucolle.com/archives/7623106.html
＜鴻帥,Boomix,Clear,50G,,23.5g,5.0,http://bakucolle.com/archives/21652084.html
＜鴻帥,Boomix,Clear,210G,,g,6.0,http://bakucolle.com/archives/11495768.html
若鴻,Terrorcrest,Clear,160G/180G,,16.5g,3.0,http://bakucolle.com/archives/8308716.html
,Destrakon Gear,Clear,180G,,16.5g,3.0,http://bakucolle.com/archives/8308817.html
