Nombre_JP,Nombre_ENG,Atributo,G-Power,Size,Weight,Rareza,URL
違潟祉眼ゃ,Titanium Dragonoid,Pyrus,540G/560G/580G,32mm,16.0g,8.0,http://bakucolle.com/archives/8778689.html
違潟祉眼ゃ,Titanium Dragonoid,Pyrus,580G,32mm,16.5g,10.0,http://bakucolle.com/archives/8778862.html
鴻帥,Infinity Trister,Pyrus,Unknown,,,,http://bakucolle.com/archives/7170070.html
違潟祉眼ゃ,Titanium Dragonoid,Pyrus,910G,32mm,16.0g,8.0,http://bakucolle.com/archives/8598688.html
若ｃ鴻祉違潟祉眼ゃ,Ventus Titanium Dragonoid,Ventus,780G,32mm,20.0g,6.0,http://bakucolle.com/archives/8598525.html
祉違潟祉眼ゃ,Haso Titanium Dragonoid,Haos,800G,32mm,20.0g,9.0,http://bakucolle.com/archives/27561571.html
若潟祉違潟祉眼ゃ,Darkus Titanium Dragonoid,Darkus,870G,32mm,20.0g,6.0,http://bakucolle.com/archives/8598450.html
眼＜祉ャ若吾с潟祉眼ゃ,Pyrus Fusion Dragonoid,Pyrus,Unknown,32mm,15.5g,8.0,http://bakucolle.com/archives/25044914.html
ャ若吾с潟祉眼ゃ,Fusion Dragonoid,Pyrus,890G,32mm,15.5g,7.0,http://bakucolle.com/archives/8779235.html
眼＜祉ャ若吾с潟祉眼ゃ,Pyrus Fusion Dragonoid,Pyrus,Unknown,32mm,18.0(5.5g+12.5g),7.0,http://bakucolle.com/archives/25042880.html
眼＜祉ャ若吾с潟祉眼ゃ,Pyrus Fusion Dragonoid,Pyrus,860G+()890G+(30G/30G),32mm,15.5g,7.0,http://bakucolle.com/archives/8791137.html
ャ若吾с潟祉眼ゃ,Fusion Dragonoid,Aquos,Unknown,32mm,15.5g,7.0,http://bakucolle.com/archives/21639806.html
若ｃ鴻祉ャ若吾с潟祉眼ゃ,Ventus Fusion Dragonoid,Ventus,800G+(30G/70G),32mm,16.0g,7.0,http://bakucolle.com/archives/29411966.html
若ｃ鴻祉ャ若吾с潟祉眼ゃ,Ventus Fusion Dragonoid,Ventus,800G+(30G/70G),32mm,15.5g,7.0,http://bakucolle.com/archives/13240303.html
,Radizen,Ventus,Unknown,,,,http://bakucolle.com/archives/6809594.html
泣祉ャ若吾с潟祉眼ゃ,Subterra Fusion Dragonoid,Subterra,910G+(20G/40G),32mm,15.5g,7.0,http://bakucolle.com/archives/13240257.html
