Nombre_JP,Nombre_ENG,Atributo,G-Power,Size,Weight,Rareza,URL
,眼ゃ,Clear,Unknown,,,,http://bakucolle.com/archives/7391685.html
眼＜祉眼ゃ,Pyrus Neo Dragonoid,Pyrus,400G/420G/440G,32mm,13.5g,2.0,http://bakucolle.com/archives/11345823.html
眼ゃ,Neo Dragonoid,Pyrus,460G,32mm,14.0g,4.0,http://bakucolle.com/archives/11345210.html
眼ゃ,Neo Dragonoid,Pyrus,500G,32mm,12.5g,2.0,http://bakucolle.com/archives/12238784.html
眼＜HEX 眼ゃ,Pyrus HEX Neo Dragonoid,Pyrus,440G/490G/500G,32mm,13.5g,7.0,http://bakucolle.com/archives/11346412.html
≪≪祉眼ゃ,Aquos Neo Dragonoid,Aquos,520G,32mm,13.5g,3.0,http://bakucolle.com/archives/20249376.html
若ｃ鴻祉眼ゃ,Ventus Neo Dragonoid,Ventus,520G/540G,32mm,13.5g,3.0,http://bakucolle.com/archives/13000936.html
祉眼ゃ,Neo Dragonoid,Haos,540G,32mm,13.5g,3.0,http://bakucolle.com/archives/15166134.html
若潟祉眼ゃ,Darkus Neo Dragonoid,Darkus,420G/440G/500G/540G,32mm,14.0g,3.0,http://bakucolle.com/archives/12984914.html
眼ゃ,Neo Dragonoid,Pyrus,460G/550G/640G/670G,32mm,13.5g,3.0,http://bakucolle.com/archives/11346004.html
眼ゃ,Neo Dragonoid,Pyrus,575G,32mm,14.0g,6.0,http://bakucolle.com/archives/11345334.html
眼＜祉眼ゃ,Pyrus Neo Dragonoid,Pyrus,480G/610G/680G,32mm,14.0g,6.0,http://bakucolle.com/archives/11345267.html
眼ゃ,Neo Dragonoid,Pyrus,590G,32mm,14.0g,7.0,http://bakucolle.com/archives/11345435.html
眼ゃ,Neo Dragonoid,Pyrus,640G,32mm,14.0g,6.0,http://bakucolle.com/archives/11345453.html
眼＜祉眼ゃ,Pyrus Neo Dragonoid,Pyrus,650G,32mm,13.5g,7.0,http://bakucolle.com/archives/29333714.html
眼ゃ,Neo Dragonoid,Pyrus,740G,32mm,14.0g,6.0,http://bakucolle.com/archives/11345106.html
眼ゃ,Neo Dragonoid,Pyrus,650G,32mm,13.0g,3.0,http://bakucolle.com/archives/12238044.html
眼ゃ(＜若鴻≪),Dragonoid,Pyrus,Unknown,,,,http://bakucolle.com/archives/7037190.html
眼ゃ,Neo Dragonoid,Pyrus,Unknown,32mm,13.5g,9.0,http://bakucolle.com/archives/25085139.html
≪≪祉眼ゃ,Aquos Neo Dragonoid,Aquos,410G/490G/540G/620G,32mm,13.5g,4.0,http://bakucolle.com/archives/20336404.html
≪≪祉眼ゃ,Aquos Neo Dragonoid,Aquos,620G,32mm,14.5g,8.0,http://bakucolle.com/archives/29333674.html
≪≪祉眼ゃ,Neo Dragonoid,Aquos,620G,32mm,13.5g,5.0,http://bakucolle.com/archives/20336468.html
≪≪祉眼ゃ,Neo Dragonoid,Aquos,750G,32mm,14.0g,6.0,http://bakucolle.com/archives/20336441.html
若ｃ鴻祉眼ゃ,Neo Dragonoid,Ventus,710G/730G,32mm,13.5g,5.0,http://bakucolle.com/archives/25103811.html
泣祉眼ゃ,Subterra Neo Dragonoid,Subterra,500G/590G,32mm,14.0g,5.0,http://bakucolle.com/archives/25178032.html
泣祉眼ゃ,Neo Dragonoid,Subterra,750G,32mm,14.0g,6.0,http://bakucolle.com/archives/25178056.html
祉眼ゃ,Neo Dragonoid,Haos,550G/660G,32mm,13.5g,4.0,http://bakucolle.com/archives/15166163.html
祉眼ゃ,Haos Neo Dragonoid,Haos,600G,32mm,14.0g,8.0,http://bakucolle.com/archives/29333651.html
眼ゃ,Neo Dragonoid,Darkus,480G/490G/520G/570G,32mm,14.0g,3.0,http://bakucolle.com/archives/12985156.html
若潟祉眼ゃ,Darkus Neo Dragonoid,Darkus,510G/600G,32mm,14.0g,8.0,http://bakucolle.com/archives/12984676.html
眼ゃ,Neo Dragonoid,Darkus,Unknown,32mm,14.0g,7.0,http://bakucolle.com/archives/12985380.html
眼ゃ,Neo Dragonoid,Darkus,700G,32mm,14.0g,6.0,http://bakucolle.com/archives/12984693.html
眼ゃ,Neo Dragonoid,Clear,650G/680G,32mm,14.0g,7.0,http://bakucolle.com/archives/15169479.html
眼＜祉眼ゃ祉眼,Pyrus Neo Dragonoid Voltex,Pyrus,420G/440G/460G,32mm,14.0g,3.0,http://bakucolle.com/archives/11346117.html
眼ゃ 祉眼,Neo Dragonoid Voltex,Pyrus,460G/650G760G,32mm,14.0g,5.0,http://bakucolle.com/archives/11346184.html
祉眼ゃ 祉眼,Haos Neo Dragonoid Voltex,Haos,660G,32mm,14.0g,6.0,http://bakucolle.com/archives/15166188.html
鴻 祉眼ゃ,Spin Dragonoid,Pyrus,670G,32mm,14.0g,6.0,http://bakucolle.com/archives/11349990.html
≪≪祉鴻潟祉眼ゃ,Aquos Spin Dragonoid,Aquos,Unknown,32mm,13.5g,6.0,http://bakucolle.com/archives/25713607.html
泣祉鴻潟祉眼ゃ,Spin Dragonoid,Subterra,640G,32mm,14.0g,6.0,http://bakucolle.com/archives/25177950.html
若潟祉鴻潟祉眼ゃ,Darkus Spin Dragonoid,Darkus,620G,32mm,14.0g,7.0,http://bakucolle.com/archives/29653377.html
帥若潟祉眼ゃ,Turbine Dragonoid,Pyrus,710G,32mm,18.0g,8.0,http://bakucolle.com/archives/12899951.html
≪≪祉帥若潟祉眼ゃ,Turbine Dragonoid,Aquos,690G,32mm,18.0g,8.0,http://bakucolle.com/archives/20336335.html
眼＜祉祉眼ゃ (),Pyrus Ultra Dragonoid,Pyrus,480G,32mm,15.0g,4.0,http://bakucolle.com/archives/11348045.html
眼＜祉祉眼ゃ (＜若娯罕),Pyrus Ultra Dragonoid,Pyrus,490G/520G,32mm,14.0g,3.0,http://bakucolle.com/archives/11347871.html
祉眼ゃ,Ultra Dragonoid,Pyrus,850G,32mm,14.0g,8.0,http://bakucolle.com/archives/11347613.html
祉眼ゃ,Ultra Dragonoid,Pyrus,580G,32mm,14.5g,7.0,http://bakucolle.com/archives/11347435.html
祉眼ゃ (),Ultra Dragonoid,Pyrus,580G/750G,32mm,15.0g,7.0,http://bakucolle.com/archives/11348171.html
祉眼ゃ (＜若娯罕),Ultra Dragonoid,Pyrus,780G,32mm,14.0g,5.0,http://bakucolle.com/archives/11347938.html
≪≪祉祉眼ゃ,Ultra Dragonoid,Aquos,540G,32mm,14.5g,7.0,http://bakucolle.com/archives/20336543.html
≪≪祉祉眼ゃ (＜若娯罕),Ultra Dragonoid,Aquos,540G,32mm,14.0g,6.0,http://bakucolle.com/archives/20336518.html
泣祉祉眼ゃ,Ultra Dragonoid,Subterra,680G,32mm,14.5g,7.0,http://bakucolle.com/archives/25178078.html
若潟祉祉眼ゃ,Darkus Ultra Dragonoid,Darkus,770G,32mm,14.5g,8.0,http://bakucolle.com/archives/29333773.html
祉眼ゃ 祉帥ゃ若,Ultra Dragonoid Tyhoon,Pyrus,720G,32mm,14.0g,8.0,http://bakucolle.com/archives/11347769.html
≪≪祉 眼ゃ祉帥ゃ若,Ultra Dragonoid Tyhoon,Aquos,710G,32mm,14.0g,8.0,http://bakucolle.com/archives/20336573.html
若ｃ鴻祉 眼ゃ祉帥ゃ若,Ultra Dragonoid Tyhoon,Ventus,670G,32mm,14.0g,8.0,http://bakucolle.com/archives/25103821.html
眼＜祉鴻祉眼ゃ,Pyrus Pyro Dragonoid,Pyrus,340G/360G/380G,32mm,11.0g,2.0,http://bakucolle.com/archives/11346960.html
祉鴻祉眼ゃ,Haos Pyro Dragonoid,Haos,500G,32mm,11.5g,3.0,http://bakucolle.com/archives/15165373.html
若潟祉鴻祉眼ゃ,Darkus Pyro Dragonoid,Darkus,500G/520G,32mm,11.0g,3.0,http://bakucolle.com/archives/12997411.html
鴻祉眼ゃ,Pyro Dragonoid,Pyrus,380G/410G/600G/660G,32mm,11.0g,3.0,http://bakucolle.com/archives/11347019.html
眼＜祉鴻祉眼ゃ,Pyrus Pyro Dragonoid,Pyrus,500G,32mm,11.5g,5.0,http://bakucolle.com/archives/11347138.html
≪≪祉鴻祉眼ゃ,Aquos Pyro Dragonoid,Aquos,630G,32mm,11.5g,5.0,http://bakucolle.com/archives/29652835.html
若ｃ鴻祉鴻祉眼ゃ,Ventus Pyro Dragonoid,Ventus,460G/550G,32mm,11.5g,3.0,http://bakucolle.com/archives/25102343.html
鴻祉眼ゃ (＜若娯罕),Pyro Dragonoid,Ventus,600G,32mm,11.5g,3.0,http://bakucolle.com/archives/25102717.html
