Pestaña,Set_Parenting,Categoria_Tipo,Nombre,Link,Temporada
S1,Series 1,Core Bakugan,Centipoid,https://bakugan.fandom.com/wiki/Centipoid,S1 (Battle Brawlers)
S1,Series 1,Core Bakugan,Dragonoid,https://bakugan.fandom.com/wiki/Dragonoid,S1 (Battle Brawlers)
S1,Series 1,Core Bakugan,Falconeer,https://bakugan.fandom.com/wiki/Falconeer,S1 (Battle Brawlers)
S1,Series 1,Core Bakugan,Fear Ripper,https://bakugan.fandom.com/wiki/Fear_Ripper,S1 (Battle Brawlers)
S1,Series 1,Core Bakugan,Gorem,https://bakugan.fandom.com/wiki/Gorem,S1 (Battle Brawlers)
S1,Series 1,Core Bakugan,Griffon,https://bakugan.fandom.com/wiki/Griffon,S1 (Battle Brawlers)
S1,Series 1,Core Bakugan,Juggernoid,https://bakugan.fandom.com/wiki/Juggernoid,S1 (Battle Brawlers)
S1,Series 1,Core Bakugan,Laserman,https://bakugan.fandom.com/wiki/Laserman,S1 (Battle Brawlers)
S1,Series 1,Core Bakugan,Reaper,https://bakugan.fandom.com/wiki/Reaper,S1 (Battle Brawlers)
S1,Series 1,Core Bakugan,Robotallion,https://bakugan.fandom.com/wiki/Robotallion,S1 (Battle Brawlers)
S1,Series 1,Core Bakugan,Saurus,https://bakugan.fandom.com/wiki/Saurus,S1 (Battle Brawlers)
S1,Series 1,Core Bakugan,Serpenoid,https://bakugan.fandom.com/wiki/Serpenoid,S1 (Battle Brawlers)
S1,Series 1,Core Bakugan,Skyress,https://bakugan.fandom.com/wiki/Skyress,S1 (Battle Brawlers)
S1,Series 1,Core Bakugan,Stinglash,https://bakugan.fandom.com/wiki/Stinglash,S1 (Battle Brawlers)
S1,Series 1,Core Bakugan,Tigrerra,https://bakugan.fandom.com/wiki/Tigrerra,S1 (Battle Brawlers)
S1,Series 1,Special Attack,Delta Dragonoid,https://bakugan.fandom.com/wiki/Delta_Dragonoid,S1 (Battle Brawlers)
S1,Series 1,Special Attack,Dual Hydranoid,https://bakugan.fandom.com/wiki/Dual_Hydranoid,S1 (Battle Brawlers)
S1,Series 1,Special Attack,Preyas,https://bakugan.fandom.com/wiki/Preyas,S1 (Battle Brawlers)
S1,Series 1,Special Types Introduced,Clear,https://bakugan.fandom.com/wiki/Clear,S1 (Battle Brawlers)
S1,Series 1,Special Types Introduced,Pearl,https://bakugan.fandom.com/wiki/Pearl,S1 (Battle Brawlers)
S1,Series 1,Special Types Introduced,Translucent,https://bakugan.fandom.com/wiki/Translucent_Bakugan,S1 (Battle Brawlers)
S1,Series 2,Core Bakugan,Cycloid,https://bakugan.fandom.com/wiki/Cycloid,S1 (Battle Brawlers)
S1,Series 2,Core Bakugan,Gargonoid,https://bakugan.fandom.com/wiki/Gargonoid,S1 (Battle Brawlers)
S1,Series 2,Core Bakugan,Hynoid,https://bakugan.fandom.com/wiki/Hynoid,S1 (Battle Brawlers)
S1,Series 2,Core Bakugan,Manion,https://bakugan.fandom.com/wiki/Manion,S1 (Battle Brawlers)
S1,Series 2,Core Bakugan,Mantris,https://bakugan.fandom.com/wiki/Mantris,S1 (Battle Brawlers)
S1,Series 2,Core Bakugan,Siege,https://bakugan.fandom.com/wiki/Siege,S1 (Battle Brawlers)
S1,Series 2,Core Bakugan,Terrorclaw,https://bakugan.fandom.com/wiki/Terrorclaw,S1 (Battle Brawlers)
S1,Series 2,Core Bakugan,Tuskor,https://bakugan.fandom.com/wiki/Tuskor,S1 (Battle Brawlers)
S1,BakuPearl Series,Core Bakugan,Blade Tigrerra,https://bakugan.fandom.com/wiki/Blade_Tigrerra,S1 (Battle Brawlers)
S1,BakuPearl Series,Core Bakugan,Preyas Diablo,https://bakugan.fandom.com/wiki/AngeloDiablo_Preyas,S1 (Battle Brawlers)
S1,BakuPearl Series,Core Bakugan,Hammer Gorem,https://bakugan.fandom.com/wiki/Hammer_Gorem,S1 (Battle Brawlers)
S1,BakuPearl Series,Core Bakugan,Limulus,https://bakugan.fandom.com/wiki/Limulus,S1 (Battle Brawlers)
S1,BakuPearl Series,Core Bakugan,Ravenoid,https://bakugan.fandom.com/wiki/Ravenoid,S1 (Battle Brawlers)
S1,BakuPearl Series,Core Bakugan,Storm Skyress,https://bakugan.fandom.com/wiki/Storm_Skyress,S1 (Battle Brawlers)
S1,BakuPearl Series,Core Bakugan,Warius,https://bakugan.fandom.com/wiki/Warius,S1 (Battle Brawlers)
S1,BakuPearl Series,Core Bakugan,Wormquake,https://bakugan.fandom.com/wiki/Wormquake,S1 (Battle Brawlers)
S1,BakuClear Series,Core Bakugan,Bee Striker,https://bakugan.fandom.com/wiki/Bee_Striker,S1 (Battle Brawlers)
S1,BakuClear Series,Core Bakugan,El Condor,https://bakugan.fandom.com/wiki/El_Condor,S1 (Battle Brawlers)
S1,BakuClear Series,Core Bakugan,Fourtress,https://bakugan.fandom.com/wiki/Fourtress,S1 (Battle Brawlers)
S1,BakuClear Series,Core Bakugan,Harpus,https://bakugan.fandom.com/wiki/Harpus,S1 (Battle Brawlers)
S1,BakuClear Series,Core Bakugan,Monarus,https://bakugan.fandom.com/wiki/Monarus,S1 (Battle Brawlers)
S1,BakuClear Series,Core Bakugan,Rattleoid,https://bakugan.fandom.com/wiki/Rattleoid,S1 (Battle Brawlers)
S1,BakuClear Series,Core Bakugan,Sirenoid,https://bakugan.fandom.com/wiki/Sirenoid,S1 (Battle Brawlers)
S1,BakuClear Series,Core Bakugan,Tentaclear,https://bakugan.fandom.com/wiki/Tentaclear,S1 (Battle Brawlers)
S1,BakuSwap Series,Core Bakugan,Apollonir,https://bakugan.fandom.com/wiki/Apollonir,S1 (Battle Brawlers)
S1,BakuSwap Series,Core Bakugan,Clayf,https://bakugan.fandom.com/wiki/Clayf,S1 (Battle Brawlers)
S1,BakuSwap Series,Core Bakugan,Exedra,https://bakugan.fandom.com/wiki/Exedra,S1 (Battle Brawlers)
S1,BakuSwap Series,Core Bakugan,Frosch,https://bakugan.fandom.com/wiki/Frosch,S1 (Battle Brawlers)
S1,BakuSwap Series,Core Bakugan,Lars Lion,https://bakugan.fandom.com/wiki/Lars_Lion,S1 (Battle Brawlers)
S1,BakuSwap Series,Core Bakugan,Naga,https://bakugan.fandom.com/wiki/Naga,S1 (Battle Brawlers)
S1,BakuSwap Series,Core Bakugan,Oberus,https://bakugan.fandom.com/wiki/Oberus,S1 (Battle Brawlers)
S1,BakuSwap Series,Core Bakugan,Wavern,https://bakugan.fandom.com/wiki/Wavern,S1 (Battle Brawlers)
S1,BakuSwap Series,Special Types Introduced,Dual Attribute,https://bakugan.fandom.com/wiki/Dual_Attribute,S1 (Battle Brawlers)
S1,Anime Exclusive,Core Bakugan,Centorrior,https://bakugan.fandom.com/wiki/Centorrior,S1 (Battle Brawlers)
S1,Anime Exclusive,Core Bakugan,Druman,https://bakugan.fandom.com/wiki/Druman,S1 (Battle Brawlers)
S1,Anime Exclusive,Core Bakugan,Fifth Paladin,https://bakugan.fandom.com/wiki/Fifth_Paladin,S1 (Battle Brawlers)
S1,Anime Exclusive,Core Bakugan,Hairadee,https://bakugan.fandom.com/wiki/Hairadee,S1 (Battle Brawlers)
S1,Anime Exclusive,Core Bakugan,Rabeeder,https://bakugan.fandom.com/wiki/Rabeeder,S1 (Battle Brawlers)
S1,Anime Exclusive,Core Bakugan,Silent Naga,https://bakugan.fandom.com/wiki/Silent_Naga,S1 (Battle Brawlers)
S1,Anime Exclusive,Core Bakugan,Tayghen,https://bakugan.fandom.com/wiki/Tayghen,S1 (Battle Brawlers)
S1,Anime Exclusive,Core Bakugan,Tricloid,https://bakugan.fandom.com/wiki/Tricloid,S1 (Battle Brawlers)
S1,Anime Exclusive,Core Bakugan,Ultimate Dragonoid,https://bakugan.fandom.com/wiki/Ultimate_Dragonoid,S1 (Battle Brawlers)
S1,Video Game Exclusive,Core Bakugan,Battle Ax Vladitor,https://bakugan.fandom.com/wiki/Battle_Ax_Vladitor,S1 (Battle Brawlers)
S1,Video Game Exclusive,Core Bakugan,Leonidas,https://bakugan.fandom.com/wiki/Leonidas,S1 (Battle Brawlers)
S1,Video Game Exclusive,Core Bakugan,Omega Leonidas,https://bakugan.fandom.com/wiki/Omega_Leonidas,S1 (Battle Brawlers)
S1,Video Game Exclusive,Core Bakugan,Vladitor,https://bakugan.fandom.com/wiki/Vladitor,S1 (Battle Brawlers)
S2,Set E,Core Bakugan,Brontes,https://bakugan.fandom.com/wiki/Brontes,S2 (BB New Vestroia)
S2,Set E,Core Bakugan,Cosmic Ingram,https://bakugan.fandom.com/wiki/Cosmic_Ingram,S2 (BB New Vestroia)
S2,Set E,Core Bakugan,Midnight Percival,https://bakugan.fandom.com/wiki/Midnight_Percival,S2 (BB New Vestroia)
S2,Set E,Core Bakugan,Nemus,https://bakugan.fandom.com/wiki/Nemus,S2 (BB New Vestroia)
S2,Set E,Core Bakugan,Neo Dragonoid,https://bakugan.fandom.com/wiki/Neo_Dragonoid,S2 (BB New Vestroia)
S2,Set E,Core Bakugan,Skyress,https://bakugan.fandom.com/wiki/Skyress,S2 (BB New Vestroia)
S2,Set E,Core Bakugan,Storm Skyress,https://bakugan.fandom.com/wiki/Storm_Skyress,S2 (BB New Vestroia)
S2,Set E,Core Bakugan,Percival,https://bakugan.fandom.com/wiki/Percival,S2 (BB New Vestroia)
S2,Set E,Core Bakugan,Pyro Dragonoid,https://bakugan.fandom.com/wiki/Pyro_Dragonoid,S2 (BB New Vestroia)
S2,Set E,Core Bakugan,Wilda,https://bakugan.fandom.com/wiki/Wilda,S2 (BB New Vestroia)
S2,Set E,Bakugan Traps,Baliton,https://bakugan.fandom.com/wiki/Baliton,S2 (BB New Vestroia)
S2,Set E,Bakugan Traps,Carlsnaut,https://bakugan.fandom.com/wiki/Carlsnaut,S2 (BB New Vestroia)
S2,Set E,Bakugan Traps,Fire Scorpion,https://bakugan.fandom.com/wiki/Fire_Scorpion,S2 (BB New Vestroia)
S2,Set E,Bakugan Traps,Metalfencer,https://bakugan.fandom.com/wiki/Metalfencer,S2 (BB New Vestroia)
S2,Set E,Bakugan Traps,Scorpion,https://bakugan.fandom.com/wiki/Scorpion,S2 (BB New Vestroia)
S2,Set E,Bakugan Traps,Pythantus,https://bakugan.fandom.com/wiki/Pythantus,S2 (BB New Vestroia)
S2,Set E,Bakugan Traps,Tripod Epsilon,https://bakugan.fandom.com/wiki/Tripod_Epsilon,S2 (BB New Vestroia)
S2,Set E,Bakugan Traps,Zoack,https://bakugan.fandom.com/wiki/Zoack,S2 (BB New Vestroia)
S2,Set E,Special Attack,Alpha Hydranoid,https://bakugan.fandom.com/wiki/Alpha_Hydranoid,S2 (BB New Vestroia)
S2,Set E,Special Attack,Boost Ingram,https://bakugan.fandom.com/wiki/Boost_Ingram,S2 (BB New Vestroia)
S2,Set E,Special Attack,Delta Dragonoid,https://bakugan.fandom.com/wiki/Delta_Dragonoid,S2 (BB New Vestroia)
S2,Set E,Special Attack,Dual Hydranoid,https://bakugan.fandom.com/wiki/Dual_Hydranoid,S2 (BB New Vestroia)
S2,Set E,Special Attack,Elfin,https://bakugan.fandom.com/wiki/Elfin,S2 (BB New Vestroia)
S2,Set E,Special Attack,Premo Vulcan,https://bakugan.fandom.com/wiki/Premo_Vulcan,S2 (BB New Vestroia)
S2,Set E,Special Attack,Preyas,https://bakugan.fandom.com/wiki/Preyas,S2 (BB New Vestroia)
S2,Set E,Special Attack,Preyas II,https://bakugan.fandom.com/wiki/AngeloDiablo_Preyas,S2 (BB New Vestroia)
S2,Set E,Special Attack,Spin Dragonoid,https://bakugan.fandom.com/wiki/Spin_Dragonoid,S2 (BB New Vestroia)
