Pestaña,Set_Parenting,Categoria_Tipo,Nombre,Link
S2,Set E,Core Bakugan,Brontes,https://bakugan.fandom.com/wiki/Brontes
S2,Set E,Core Bakugan,Cosmic Ingram,https://bakugan.fandom.com/wiki/Cosmic_Ingram
S2,Set E,Core Bakugan,Midnight Percival,https://bakugan.fandom.com/wiki/Midnight_Percival
S2,Set E,Core Bakugan,Nemus,https://bakugan.fandom.com/wiki/Nemus
S2,Set E,Core Bakugan,Neo Dragonoid,https://bakugan.fandom.com/wiki/Neo_Dragonoid
S2,Set E,Core Bakugan,Skyress,https://bakugan.fandom.com/wiki/Skyress
S2,Set E,Core Bakugan,Storm Skyress,https://bakugan.fandom.com/wiki/Storm_Skyress
S2,Set E,Core Bakugan,Percival,https://bakugan.fandom.com/wiki/Percival
S2,Set E,Core Bakugan,Pyro Dragonoid,https://bakugan.fandom.com/wiki/Pyro_Dragonoid
S2,Set E,Core Bakugan,Wilda,https://bakugan.fandom.com/wiki/Wilda
S2,Set E,Bakugan Traps,Baliton,https://bakugan.fandom.com/wiki/Baliton
S2,Set E,Bakugan Traps,Carlsnaut,https://bakugan.fandom.com/wiki/Carlsnaut
S2,Set E,Bakugan Traps,Fire Scorpion,https://bakugan.fandom.com/wiki/Fire_Scorpion
S2,Set E,Bakugan Traps,Metalfencer,https://bakugan.fandom.com/wiki/Metalfencer
S2,Set E,Bakugan Traps,Scorpion,https://bakugan.fandom.com/wiki/Scorpion
S2,Set E,Bakugan Traps,Pythantus,https://bakugan.fandom.com/wiki/Pythantus
S2,Set E,Bakugan Traps,Tripod Epsilon,https://bakugan.fandom.com/wiki/Tripod_Epsilon
S2,Set E,Bakugan Traps,Zoack,https://bakugan.fandom.com/wiki/Zoack
S2,Set E,Special Attack,Alpha Hydranoid,https://bakugan.fandom.com/wiki/Alpha_Hydranoid
S2,Set E,Special Attack,Boost Ingram,https://bakugan.fandom.com/wiki/Boost_Ingram
S2,Set E,Special Attack,Delta Dragonoid,https://bakugan.fandom.com/wiki/Delta_Dragonoid
S2,Set E,Special Attack,Dual Hydranoid,https://bakugan.fandom.com/wiki/Dual_Hydranoid
S2,Set E,Special Attack,Elfin,https://bakugan.fandom.com/wiki/Elfin
S2,Set E,Special Attack,Premo Vulcan,https://bakugan.fandom.com/wiki/Premo_Vulcan
S2,Set E,Special Attack,Preyas,https://bakugan.fandom.com/wiki/Preyas
S2,Set E,Special Attack,Preyas II,https://bakugan.fandom.com/wiki/AngeloDiablo_Preyas
S2,Set E,Special Attack,Spin Dragonoid,https://bakugan.fandom.com/wiki/Spin_Dragonoid
S2,Set E,Special Attack,Spin Ravenoid,https://bakugan.fandom.com/wiki/Spin_Ravenoid
S2,Set E,Special Attack,Vandarus,https://bakugan.fandom.com/wiki/Vandarus
S2,Set E,Special Types Introduced,BakuNeon,https://bakugan.fandom.com/wiki/BakuNeon
S2,Set F,Core Bakugan,Cyborg Helios,https://bakugan.fandom.com/wiki/Cyborg_Helios
S2,Set F,Core Bakugan,Dual Elfin,https://bakugan.fandom.com/wiki/Dual_Elfin
S2,Set F,Core Bakugan,Hades,https://bakugan.fandom.com/wiki/Hades
S2,Set F,Core Bakugan,Klawgor,https://bakugan.fandom.com/wiki/Klawgor
S2,Set F,Core Bakugan,Leefram,https://bakugan.fandom.com/wiki/Leefram
S2,Set F,Core Bakugan,Mega Nemus,https://bakugan.fandom.com/wiki/Mega_Nemus
S2,Set F,Core Bakugan,Scraper,https://bakugan.fandom.com/wiki/Scraper
S2,Set F,Core Bakugan,Shadow Vulcan,https://bakugan.fandom.com/wiki/Shadow_Vulcan
S2,Set F,Bakugan Traps,Piercian,https://bakugan.fandom.com/wiki/Piercian
S2,Set F,Bakugan Traps,Triad El Condor,https://bakugan.fandom.com/wiki/Triad_El_Condor
S2,Set F,Bakugan Traps,Triad Sphinx,https://bakugan.fandom.com/wiki/Triad_Sphinx
S2,Set F,Bakugan Traps,Tripod Theta,https://bakugan.fandom.com/wiki/Tripod_Theta
S2,Set F,Special Attack,Elico,https://bakugan.fandom.com/wiki/Elico
S2,Set F,Special Attack,Neo Dragonoid Vortex,https://bakugan.fandom.com/wiki/Neo_Dragonoid_Vortex
S2,Set F,Special Attack,Turbine Hades,https://bakugan.fandom.com/wiki/Turbine_Hades
S2,Set F,Special Attack,Turbine Helios,https://bakugan.fandom.com/wiki/Turbine_Helios
S2,Set F,Special Types Introduced,BakuBronze,https://bakugan.fandom.com/wiki/BakuBronze
S2,Set G,Core Bakugan,Alpha Percival,https://bakugan.fandom.com/wiki/Alpha_Percival
