Pestaña,Set_Parenting,Categoria_Tipo,Nombre,Link
S3,Set K,Core Bakugan,Avior,https://bakugan.fandom.com/wiki/Avior
S3,Set K,Core Bakugan,Coredem,https://bakugan.fandom.com/wiki/Coredem
S3,Set K,Core Bakugan,Cosmic Ingram,https://bakugan.fandom.com/wiki/Cosmic_Ingram
S3,Set K,Core Bakugan,Cyborg Helios,https://bakugan.fandom.com/wiki/Cyborg_Helios
S3,Set K,Core Bakugan,Dharak,https://bakugan.fandom.com/wiki/Dharak
S3,Set K,Core Bakugan,Fencer,https://bakugan.fandom.com/wiki/Fencer
S3,Set K,Core Bakugan,Foxbat,https://bakugan.fandom.com/wiki/Foxbat
S3,Set K,Core Bakugan,Hades,https://bakugan.fandom.com/wiki/Hades
S3,Set K,Core Bakugan,Helix Dragonoid,https://bakugan.fandom.com/wiki/Helix_Dragonoid
S3,Set K,Core Bakugan,Hyper Dragonoid,https://bakugan.fandom.com/wiki/Hyper_Dragonoid
S3,Set K,Core Bakugan,Ingram,https://bakugan.fandom.com/wiki/Ingram
S3,Set K,Core Bakugan,Lumagrowl,https://bakugan.fandom.com/wiki/Lumagrowl
S3,Set K,Core Bakugan,Neo Dragonoid,https://bakugan.fandom.com/wiki/Neo_Dragonoid
S3,Set K,Core Bakugan,Phosphos,https://bakugan.fandom.com/wiki/Phosphos
S3,Set K,Core Bakugan,Snapzoid,https://bakugan.fandom.com/wiki/Snapzoid
S3,Set K,Core Bakugan,Strikeflier,https://bakugan.fandom.com/wiki/Strikeflier
S3,Set K,Core Bakugan,Viper Helios,https://bakugan.fandom.com/wiki/Viper_Helios
S3,Set K,Core Bakugan,Wilda,https://bakugan.fandom.com/wiki/Wilda
S3,Set K,Battle Gear,AirKor,https://bakugan.fandom.com/wiki/AirKor
S3,Set K,Battle Gear,Battle Turbine,https://bakugan.fandom.com/wiki/Battle_Turbine
S3,Set K,Battle Gear,JetKor,https://bakugan.fandom.com/wiki/JetKor
S3,Set K,Battle Gear,Rock Hammer,https://bakugan.fandom.com/wiki/Rock_Hammer
S3,Set K,Battle Gear,Twin Destructor,https://bakugan.fandom.com/wiki/Twin_Destructor
S3,Set K,Battle Gear,Vilantor Gear,https://bakugan.fandom.com/wiki/Vilantor_Gear
S3,Set K,Super Assault,Chance Dragonoid,https://bakugan.fandom.com/wiki/Chance_Dragonoid
S3,Set K,Super Assault,Clawsaurus,https://bakugan.fandom.com/wiki/Clawsaurus
S3,Set K,Super Assault,Farakspin,https://bakugan.fandom.com/wiki/Farakspin
S3,Set K,Super Assault,Lumitroid,https://bakugan.fandom.com/wiki/Lumitroid
S3,Set K,Super Assault,Quake Dragonoid,https://bakugan.fandom.com/wiki/Quake_Dragonoid
S3,Set K,Bakugan Traps,Baliton,https://bakugan.fandom.com/wiki/Baliton
S3,Set K,Bakugan Traps,Carlsnaut,https://bakugan.fandom.com/wiki/Carlsnaut
S3,Set K,Bakugan Traps,Fourtress,https://bakugan.fandom.com/wiki/Fourtress
S3,Set K,Bakugan Traps,Hylash,https://bakugan.fandom.com/wiki/Hylash
S3,Set K,Bakugan Traps,Legionoid,https://bakugan.fandom.com/wiki/Legionoid
S3,Set K,Bakugan Traps,Metalfencer,https://bakugan.fandom.com/wiki/Metalfencer
S3,Set K,Bakugan Traps,Scorpion,https://bakugan.fandom.com/wiki/Scorpion
S3,Set K,Bakugan Traps,Triad El Condor,https://bakugan.fandom.com/wiki/Triad_El_Condor
S3,Set K,Bakugan Traps,Triad Sphinx,https://bakugan.fandom.com/wiki/Triad_Sphinx
S3,Set L,Core Bakugan,Akwimos,https://bakugan.fandom.com/wiki/Akwimos
S3,Set L,Core Bakugan,Aranaut,https://bakugan.fandom.com/wiki/Aranaut
S3,Set L,Core Bakugan,Hakapoid,https://bakugan.fandom.com/wiki/Hakapoid
S3,Set L,Core Bakugan,Krakix,https://bakugan.fandom.com/wiki/Krakix
S3,Set L,Core Bakugan,Lumino Dragonoid,https://bakugan.fandom.com/wiki/Lumino_Dragonoid
