Pestaña,Set_Parenting,Categoria_Tipo,Nombre,Link
S4,Set Q,Core Bakugan,Alpha Hydranoid,https://bakugan.fandom.com/wiki/Alpha_Hydranoid
S4,Set Q,Core Bakugan,Bolcanon,https://bakugan.fandom.com/wiki/Bolcanon
S4,Set Q,Core Bakugan,Cyborg Helios,https://bakugan.fandom.com/wiki/Cyborg_Helios
S4,Set Q,Core Bakugan,Cyclone Percival,https://bakugan.fandom.com/wiki/Cyclone_Percival
S4,Set Q,Core Bakugan,Dharak,https://bakugan.fandom.com/wiki/Dharak
S4,Set Q,Core Bakugan,Dragonoid,https://bakugan.fandom.com/wiki/Dragonoid
S4,Set Q,Core Bakugan,Flash Ingram,https://bakugan.fandom.com/wiki/Flash_Ingram
S4,Set Q,Core Bakugan,Helix Dragonoid,https://bakugan.fandom.com/wiki/Helix_Dragonoid
S4,Set Q,Core Bakugan,Iron Dragonoid,https://bakugan.fandom.com/wiki/Iron_Dragonoid
S4,Set Q,Core Bakugan,Meta Dragonoid,https://bakugan.fandom.com/wiki/Meta_Dragonoid
S4,Set Q,Core Bakugan,Mutant Elfin,https://bakugan.fandom.com/wiki/Mutant_Elfin
S4,Set Q,Core Bakugan,Neo Dragonoid,https://bakugan.fandom.com/wiki/Neo_Dragonoid
S4,Set Q,Core Bakugan,Razenoid,https://bakugan.fandom.com/wiki/Razenoid
S4,Set Q,Core Bakugan,Taylean,https://bakugan.fandom.com/wiki/Taylean
S4,Set Q,BakuNano,Bombaplode,https://bakugan.fandom.com/wiki/Bombaplode
S4,Set Q,BakuNano,Crosstriker,https://bakugan.fandom.com/wiki/Crosstriker
S4,Set Q,BakuNano,Hammermor,https://bakugan.fandom.com/wiki/Hammermor
S4,Set Q,BakuNano,Hyper Pulsor,https://bakugan.fandom.com/wiki/Hyper_Pulsor
S4,Set Q,BakuNano,Slingpike,https://bakugan.fandom.com/wiki/Slingpike
S4,Set Q,BakuNano,Sonicanon,https://bakugan.fandom.com/wiki/Sonicanon
S4,Set Q,Mechtogan,Braxion,https://bakugan.fandom.com/wiki/Braxion
S4,Set Q,Mechtogan,Deezall,https://bakugan.fandom.com/wiki/Deezall
S4,Set Q,Mechtogan,Venexus,https://bakugan.fandom.com/wiki/Venexus
S4,Set Q,Mechtogan,Zenthon,https://bakugan.fandom.com/wiki/Zenthon
S4,Set Q,Mechtogan Titans,Venexus Titan,https://bakugan.fandom.com/wiki/Venexus_Titan
S4,Set Q,Mechtogan Titans,Zenthon Titan,https://bakugan.fandom.com/wiki/Zenthon_Titan
S4,Set Q,Mobile Assault,Axellor,https://bakugan.fandom.com/wiki/Axellor
S4,Set Q,Mobile Assault,Hurrix,https://bakugan.fandom.com/wiki/Hurrix
S4,Set Q,Mobile Assault,Impalaton,https://bakugan.fandom.com/wiki/Impalaton
S4,Set Q,Mobile Assault,Raytheus,https://bakugan.fandom.com/wiki/Raytheus
S4,Set Q,BakuSteel Traps,Falcon Fly,https://bakugan.fandom.com/wiki/Falcon_Fly
S4,Set Q,BakuSteel Traps,Hexstar,https://bakugan.fandom.com/wiki/Hexstar
S4,Set Q,BakuSteel Traps,Hylash,https://bakugan.fandom.com/wiki/Hylash
S4,Set Q,BakuSteel Traps,Piercian,https://bakugan.fandom.com/wiki/Piercian
S4,Set Q,BakuSteel Traps,Triad El Condor,https://bakugan.fandom.com/wiki/Triad_El_Condor
S4,Set Q,BakuSteel Traps,Triad Sphinx,https://bakugan.fandom.com/wiki/Triad_Sphinx
S4,Set Q,BakuSteel Traps,Tripod Epsilon,https://bakugan.fandom.com/wiki/Tripod_Epsilon
S4,Set R,Core Bakugan,Hyper Dragonoid,https://bakugan.fandom.com/wiki/Hyper_Dragonoid
S4,Set R,Core Bakugan,Infinity Helios,https://bakugan.fandom.com/wiki/Infinity_Helios
S4,Set R,Core Bakugan,Infinity Trister,https://bakugan.fandom.com/wiki/Infinity_Trister
S4,Set R,Core Bakugan,Krakenoid,https://bakugan.fandom.com/wiki/Krakenoid
S4,Set R,Core Bakugan,Lumino Dragonoid,https://bakugan.fandom.com/wiki/Lumino_Dragonoid
