Bakugan_ENG,Atributo,G_Power,Nombre_JP,Fuente_Link
Abis Omega,Pyrus,"650, 730, 760",TBD,https://bakugan.fandom.com/wiki/Abis_Omega
Abis Omega,Aquos,"450, 580, 610, 650, 670",TBD,https://bakugan.fandom.com/wiki/Abis_Omega
Abis Omega,Subterra,530,TBD,https://bakugan.fandom.com/wiki/Abis_Omega
Abis Omega,Haos,"750, 770",TBD,https://bakugan.fandom.com/wiki/Abis_Omega
Abis Omega,Ventus,"560, 730, 820",TBD,https://bakugan.fandom.com/wiki/Abis_Omega
Abis Omega,Clear,530,TBD,https://bakugan.fandom.com/wiki/Abis_Omega
Aerogan,Aquos,850,TBD,https://bakugan.fandom.com/wiki/Aerogan
Aksela,Pyrus,770,TBD,https://bakugan.fandom.com/wiki/Aksela
Aksela,Aquos,"700, 890",TBD,https://bakugan.fandom.com/wiki/Aksela
Aksela,Subterra,"670, 870",TBD,https://bakugan.fandom.com/wiki/Aksela
Aksela,Haos,870,TBD,https://bakugan.fandom.com/wiki/Aksela
Aksela,Ventus,800,TBD,https://bakugan.fandom.com/wiki/Aksela
Akwimos,Pyrus,"640, 660",TBD,https://bakugan.fandom.com/wiki/Akwimos
Akwimos,Aquos,"650, 670, 680, 760, 780, 800",TBD,https://bakugan.fandom.com/wiki/Akwimos
Akwimos,Subterra,790,TBD,https://bakugan.fandom.com/wiki/Akwimos
Akwimos,Darkus,"750, 790",TBD,https://bakugan.fandom.com/wiki/Akwimos
Akwimos,Ventus,750,TBD,https://bakugan.fandom.com/wiki/Akwimos
Akwimos,Clear,"660, 800",TBD,https://bakugan.fandom.com/wiki/Akwimos
Alpha Hydranoid,Pyrus,"600, 680, 800",TBD,https://bakugan.fandom.com/wiki/Alpha_Hydranoid
Alpha Hydranoid,Subterra,"460, 480, 500, 650, 750",TBD,https://bakugan.fandom.com/wiki/Alpha_Hydranoid
Alpha Hydranoid,Haos,"630, 680",TBD,https://bakugan.fandom.com/wiki/Alpha_Hydranoid
Alpha Hydranoid,Darkus,"340, 360, 380, 670, 800",TBD,https://bakugan.fandom.com/wiki/Alpha_Hydranoid
Alpha Hydranoid,Ventus,640,TBD,https://bakugan.fandom.com/wiki/Alpha_Hydranoid
Alpha Percival,Pyrus,"440, 500",TBD,https://bakugan.fandom.com/wiki/Alpha_Percival
Alpha Percival,Darkus,"520, 550, 700, 710, 720",TBD,https://bakugan.fandom.com/wiki/Alpha_Percival
Alpha Percival,Ventus,"630, 650, 680",TBD,https://bakugan.fandom.com/wiki/Alpha_Percival
Alpha Percival,Clear,550,TBD,https://bakugan.fandom.com/wiki/Alpha_Percival
Alpha Percival Cyclone,Darkus,"700, 800",TBD,https://bakugan.fandom.com/wiki/Alpha_Percival_Cyclone
Altair,Pyrus,670,TBD,https://bakugan.fandom.com/wiki/Altair
Altair,Aquos,"490, 610",TBD,https://bakugan.fandom.com/wiki/Altair
Altair,Haos,"520, 650, 750",TBD,https://bakugan.fandom.com/wiki/Altair
Altair,Darkus,660,TBD,https://bakugan.fandom.com/wiki/Altair
Altair,Ventus,"500, 630, 640, 650, 710",TBD,https://bakugan.fandom.com/wiki/Altair
Alto Brontes,Pyrus,"650, 680",TBD,https://bakugan.fandom.com/wiki/Alto_Brontes
Alto Brontes,Aquos,550,TBD,https://bakugan.fandom.com/wiki/Alto_Brontes
Alto Brontes,Haos,"520, 640",TBD,https://bakugan.fandom.com/wiki/Alto_Brontes
Angelo/Diablo Preyas,Aquos,"460, 480, 500",TBD,https://bakugan.fandom.com/wiki/Angelo/Diablo_Preyas
