Bakugan_ENG,Atributo,G_Power_Detailed,Fuente_Link
List of Bakugan,Unknown,700G,https://bakugan.fandom.com/wiki/List_of_Bakugan
List of Bakugan,Unknown,760G,https://bakugan.fandom.com/wiki/List_of_Bakugan
Abis Omega,Pyrus,"650G ( BakuCore ), 730G ( Translucent ), 760G",https://bakugan.fandom.com/wiki/Abis_Omega
Abis Omega,Aquos,"450G, 580G ( BakuSteel , BakuLyte ), 610G, 610G ( BakuSteel / BakuFlip ), 650G, 670G ( BakuCore )",https://bakugan.fandom.com/wiki/Abis_Omega
Abis Omega,Subterra,530G ( BakuSolar ),https://bakugan.fandom.com/wiki/Abis_Omega
Abis Omega,Haos,"750G ( BakuFrost , BakuFlip ), 770G ( Translucent )",https://bakugan.fandom.com/wiki/Abis_Omega
Abis Omega,Ventus,"560G ( BakuNeon ), 730G, 820G ( BakuCore )",https://bakugan.fandom.com/wiki/Abis_Omega
Abis Omega,Clear,530G,https://bakugan.fandom.com/wiki/Abis_Omega
Aerogan,Aquos,850G,https://bakugan.fandom.com/wiki/Aerogan
Aksela,Pyrus,770G,https://bakugan.fandom.com/wiki/Aksela
Aksela,Aquos,"700G, 890G",https://bakugan.fandom.com/wiki/Aksela
Aksela,Subterra,"670G, 870G",https://bakugan.fandom.com/wiki/Aksela
Aksela,Haos,870G,https://bakugan.fandom.com/wiki/Aksela
Aksela,Ventus,800G,https://bakugan.fandom.com/wiki/Aksela
Akwimos,Pyrus,"640G, 660G",https://bakugan.fandom.com/wiki/Akwimos
Akwimos,Aquos,"650G, 670G, 680G, 760G, 780G, 800G",https://bakugan.fandom.com/wiki/Akwimos
Akwimos,Subterra,790G,https://bakugan.fandom.com/wiki/Akwimos
Akwimos,Darkus,"750G, 790G (BakuStealth)",https://bakugan.fandom.com/wiki/Akwimos
Akwimos,Ventus,750G,https://bakugan.fandom.com/wiki/Akwimos
Akwimos,Clear,"660G, 800G",https://bakugan.fandom.com/wiki/Akwimos
Alpha Hydranoid,Pyrus,"600G ( Translucent ), 680G, 800G",https://bakugan.fandom.com/wiki/Alpha_Hydranoid
